company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
BLUEMOONSHOP21 LTD,13846727,Active,Private limited company,,13/01/2022,47910,20 Takely End Basildon SS16 5AZ
POSH CHOCOLATES LTD,13845690,Active,Private limited company,,13/01/2022,90030,20 Ransom Road Coventry CV6 5LE
RADU SECURITY LTD,13847053,Active,Private limited company,,13/01/2022,80100,20 Cedar Road Northampton NN1 4RN
ZL SERVICES LTD,13845798,Active,Private limited company,,13/01/2022,47730,2 York Street Levenshulme Manchester M19 3YS
MOTIVATION EXPRESS LTD,13845747,Active,Private limited company,,13/01/2022,46310,2 Westbourne Road Bedford MK40 4LB
BIANKA K LIMITED,13846964,Active,Private limited company,,13/01/2022,81210,2 Stockwell Mews London SW9 9GX
COFFEE LEONATI LTD,13846860,Active,Private limited company,,13/01/2022,56102,2 New Barn Farm Cottages Hooe Battle TN33 9HQ
GWEX LIMITED,13846542,Active,Private limited company,,13/01/2022,56103,2 Isleworth Road Exeter EX4 1QU
FOX HGV LTD,13846855,Active,Private limited company,,13/01/2022,52219,2 Hazelwood Road Corby NN17 1HS
PROPERTY4FAMILY LTD,13847348,Active,Private limited company,,13/01/2022,68209,2 Grosvenor Street Scunthorpe DN15 6BE
ELSHOPPING LTD,13845985,Active,Private limited company,,13/01/2022,47910,2 Frederick Street Kings Cross London WC1X 0ND
ATTILA CLEANING SERVICES LIMITED,13846792,Active,Private limited company,,13/01/2022,81299,2 Flaxland Rothley Leicester LE7 7RJ
SURREY SERVICES LTD,13847299,Active,Private limited company,,13/01/2022,49320 80100,2 East Hill Woking GU22 8DN
BENJI'S BOUTIQUE LTD,13847310,Active,Private limited company,,13/01/2022,47910,1a Castle Road Torquay TQ1 3BB
OLYMPUS SCAFFOLD LTD,13846573,Active,Private limited company,,13/01/2022,43991,194 White Lane Sheffield S12 3GL
AYTAIS LTD,13846910,Active,Private limited company,,13/01/2022,56101,194 Hayward Gardens London SW15 3BU
SUNDER BEAUTY SALON LTD,13847405,Active,Private limited company,,13/01/2022,96020,19 Stanley Drive Leicester LE5 1EB
SMC PROPERTIES(NE) LTD,13846157,Active,Private limited company,,13/01/2022,68100,19 Portchester Close Ingleby Barwick Stockton-On-Tees TS17 5LQ
SA SPORTS AND FITNESS LTD,13846960,Active,Private limited company,,13/01/2022,93120 93199,188 Edward Road Balsall Heath Birmingham B12 9LX
NOAKES INCORPORATING LTD,13846908,Active,Private limited company,,13/01/2022,41100 41202 43210,182 Goddington Lane Orpington BR6 9DH
GORDIANLOVE LTD,13845607,Active,Private limited company,,13/01/2022,47789,182 Beamhill Road Anslow Burton-On-Trent DE13 9QW
CÚLHOONCLOTHING LTD,NI684972,Active,Private limited company,,13/01/2022,47710,18 Seein Park Strabane BT82 9JB
TV & FILM FACILITIES LTD,13847422,Active,Private limited company,,13/01/2022,81100,178 King Street Dukinfield SK16 4TY
MICHAEL KIRKHAM ILLUSTRATION LTD,SC719656,Active,Private limited company,,13/01/2022,90030,17-21 East Mayfield Edinburgh EH9 1SE
SYED MUHAMMAD GHOUS SHAH LTD,13847072,Active,Private limited company,,13/01/2022,47990,17 Manship Road Mitcham CR4 2AY
YOUVOUCH LTD,13846696,Active,Private limited company,,13/01/2022,58290 62012 63110 63120,17 Kings Drive Edgware HA8 8ED
DNA RECRUITMENT SOLUTIONS LIMITED,13847408,Active,Private limited company,,13/01/2022,78200,16a Market Avenue Huddersfield HD1 2BB
360 TC LTD,13846915,Active,Private limited company,,13/01/2022,46190 47910,167 Uxbridge Road London W7 3TH
Y RETAIL LIMITED,13845969,Active,Private limited company,,13/01/2022,43320,167 Bellemoor Road Southampton SO15 7QZ
ALRY PREFAB LTD,13847463,Active,Private limited company,,13/01/2022,26110,162-164 High Street Rayleigh United Kingdom SS6 7BS
DUNEDIN COMPLEX CARE LIMITED,13847329,Active,Private limited company,,13/01/2022,86102,16 Winslow Road Great Horwood MK17 0QN
AVIEMOREDELIVERY LTD,SC719734,Active,Private limited company,,13/01/2022,56290,16 Drummond Road Aviemore PH22 1UG
AKAS COMPANIES LTD,13846818,Active,Private limited company,,13/01/2022,64204,16 Dolphin Street Manchester M12 6BG
SARS SPA LTD,13847035,Active,Private limited company,,13/01/2022,93130,16 Dolphin Street Manchester M12 6BG
SIMTINASHE MAHUNI LTD,13846301,Active,Private limited company,,13/01/2022,86900,154 Beambridge Basildon SS13 3NE
IMF&H LTD,13846720,Active,Private limited company,,13/01/2022,43390 68209,15 Wood Lane Castleford WF10 5PQ
TAHONA PROJECTS LTD,13846575,Active,Private limited company,,13/01/2022,56101,15 Richmond Street Wallasey CH45 2LE
ZEMPT HOMES LIMITED,13847356,Active,Private limited company,,13/01/2022,68100 68209 68320,15 Bank Avenue Dunstable LU6 1FR
ZAGGER CAPITAL LTD,NI684968,Active,Private limited company,,13/01/2022,66120,146 High Street Holywood BT18 9HS
GOLDEN GREEN CARE LIMITED,13847523,Active,Private limited company,,13/01/2022,78200 84120,14 Woolpack Green Salford M6 7AY
WAW FISHING LTD,SC719672,Active,Private limited company,,13/01/2022,3110,14 Melrose Crescent Macduff AB44 1QX
NATIONWIDE TALENT SOLUTIONS GROUP LTD,13846733,Active,Private limited company,,13/01/2022,70229 78300,14 Bracken Close Borehamwood WD6 5JX
PLAQUE AWARDS LTD,13847518,Active,Private limited company,,13/01/2022,32990,138 South Street 1-2 Floors Romford RM1 1TE
QUAYECARE24/7 LTD,13847325,Active,Private limited company,,13/01/2022,78109 78200,133 The Hide Netherfield Milton Keynes Buckinghamshire MK6 4HR
CLAIMS CONSULTANTS (UK) LIMITED,13847430,Active,Private limited company,,13/01/2022,99999,133 Station Road Sidcup DA15 7AA
KIAN SHAYLA LTD,13845950,Active,Private limited company,,13/01/2022,56102,131 Church Road Willesborough Kent TN24 0JQ
SEIF FINANCIAL (UK) LIMITED,13845991,Active,Private limited company,,13/01/2022,64999,130 Shaftesbury Avenue 2nd Floor London W1D 5EU
SP SSAS INVESTMENTS LIMITED,13845775,Active,Private limited company,,13/01/2022,68209,13 Coedcelyn Road Sketty Swansea SA2 8DS
RAY’S DRINKS STOP (COLESHILL) LIMITED,13846414,Active,Private limited company,,13/01/2022,47110,"1-3 Bridge View, High Street Birmingham B46 1BE"
PICKLED PIG 268 LTD,13846518,Active,Private limited company,,13/01/2022,55900 56290 56301 56302,129 Chepstow Road Newport NP19 8EG
BEERA COLLECTION LTD,13847103,Active,Private limited company,,13/01/2022,47710,125 Coalshaw Green Road Chadderton Oldham OL9 8JR
KALOISE SERVICES LTD,13846320,Active,Private limited company,,13/01/2022,82990,123 St. Marks Road Enfield EN1 1BJ
PARAFTA SERVICES LTD,13845961,Active,Private limited company,,13/01/2022,82990,123 St. Marks Road Enfield EN1 1BJ
LALMETO SERVICES LTD,13845942,Active,Private limited company,,13/01/2022,82990,123 St. Marks Road Enfield EN1 1BJ
GEPESE SERVICES LTD,13846064,Active,Private limited company,,13/01/2022,82990,123 St. Marks Road Enfield EN1 1BJ
BEV'S BISTRO LIMITED,SC719750,Active,Private limited company,,13/01/2022,56102,123 Holburn Street Aberdeen AB10 6BP
NORTH EAST ROLLER DOORS LTD,SC719666,Active,Private limited company,,13/01/2022,43999,12 Traill Drive Montrose DD10 8SW
RY PARMAR LTD,13845963,Active,Private limited company,,13/01/2022,43390,12 Rubery Field Close Rednal Birmingham B45 9WD
GEOMARISH BUSINESS GROUP UK LTD,13847587,Active,Private limited company,,13/01/2022,01500 82110,12 Dorney Place Dartford DA1 5RT
AVOCET PROPERTIES (SW) LTD,13846170,Active,Private limited company,,13/01/2022,41100,12 Colebrook Road Plympton Plymouth PL7 4AA
KINDOM SUPPORT SERVICES LTD,13847135,Active,Private limited company,,13/01/2022,80100,"1191a High Road Chadwellheath, Romford Essex, London RM6 4AL"
YBJ LTD,SC719743,Active,Private limited company,,13/01/2022,47110 47210 47290,1190 Argyle Street Glasgow G3 8TE
DUSKI LTD,13845766,Active,Private limited company,,13/01/2022,56101,117 London Road Portsmouth PO2 0BN
HEART OF FULHAM LTD,13846845,Active,Private limited company,,13/01/2022,68100 68209 68320,117 Jersey Road Isleworth TW7 4QR
CENTRAL ARCHITECTURE LTD,13845990,Active,Private limited company,,13/01/2022,71111,117 Dartford Road Dartford DA1 3EN
ROGAN EST LTD,NI684976,Active,Private limited company,,13/01/2022,45112 45190 49410 96090,116 Movilla Road Newtownards BT23 8RJ
DAZFAD LIMITED,13846866,Active,Private limited company,,13/01/2022,56210 80200 81299,114 Lower Barn Road Purley CR8 1HR
GROWTH INVESTING LIMITED,13846847,Active,Private limited company,,13/01/2022,64209,113b Church Road Formby Liverpool L37 3ND
ABIJOY LOCUMS LIMITED,13847418,Active,Private limited company,,13/01/2022,86900,112 Moss Lane Sandbach CW11 3JX
PARMENO LTD,13847570,Active,Private limited company,,13/01/2022,46900 47910,110 Empress Road Derby DE23 6TE
CONNECT XP LIMITED,13845723,Active,Private limited company,,13/01/2022,62020 70229,110 Butterfield Great Marlings Luton LU2 8DL
V J O’CALLAGHAN LIMITED,13847308,Active,Private limited company,,13/01/2022,56302,11 Melody Avenue Anstey Leicester LE7 7EX
MACPHARMA LIMITED,SC719735,Active,Private limited company,,13/01/2022,96090,11 Lodge View Hopeman Elgin IV30 5TS
AMPHIBIOUS VEHICLE DEVELOPMENTS LTD,13847531,Active,Private limited company,,13/01/2022,74100,11 Hinton View Sturminster Newton DT10 1ES
QUORN THAI RISE LTD,13846040,Active,Private limited company,,13/01/2022,56101,10a Leicester Road Loughborough Quorn LE12 8ET
Z S A SERVICES LTD,13847594,Active,Private limited company,,13/01/2022,82990,109 Liverpool Road Eccles Manchester M30 0ND
SPIXWORTH FISH BAR LTD,13846437,Active,Private limited company,,13/01/2022,56103 56290,102 Crostwick Lane Spixworth Norwich NR10 3NQ
SFK1916 LIMITED,SC719753,Active,Private limited company,,13/01/2022,68209,10 Polwarth Terrace Edinburgh EH11 1ND
VG TAXIS LTD,13846756,Active,Private limited company,,13/01/2022,49320,10 Netherhall Road Leicester LE5 1DJ
NET SPECTRUM MARKETING LIMITED,13845929,Active,Private limited company,,13/01/2022,62012,10 Gravel Lane London E1 7AW
LAURA FERGUSON HR CONSULTING LTD,SC719671,Active,Private limited company,,13/01/2022,74909,10 Clarinda Place Larbert FK5 4FG
TIDDLYWINKS COTTAGE LTD,13846290,Active,Private limited company,,13/01/2022,55209,10 Cheyne Walk Northampton NN1 5PT
B & A FOODS LIMITED,13846118,Active,Private limited company,,13/01/2022,56290,10 Allerton Grange Close Bradford BD15 7LG
JOCKS GRILL HOUSE LTD,SC719683,Active,Private limited company,,13/01/2022,56102,1 Victoria Road Kirkcaldy KY1 1DT
SIMONACO LTD,13846522,Active,Private limited company,,13/01/2022,49410,"1 Thornton Villas Hampton Lane Hampton Lane Hanworth, Feltham United Kingdom TW13 6NP"
HEART SQUID FILMS LIMITED,13846321,Active,Private limited company,,13/01/2022,74203,1 Springfield Park North Parade Horsham RH12 2BF
CB HOMES DEV 13 GREEN LANE LAND LIMITED,13846570,Active,Private limited company,,13/01/2022,41100,1 Park Row Leeds LS1 5HN
THE PAGAN GROUP LTD,13846676,Active,Private limited company,,13/01/2022,74202,1 Edinburgh Close Barnham Thetford IP24 2NT
PROTOFINISH LTD,13846919,Active,Private limited company,,13/01/2022,29100,1 Deveron Drive Lubbesthorpe Leicester LE19 4LQ
MISTY VALE LIMITED,13846288,Active,Private limited company,,13/01/2022,47910,1 Crescent Cottages Pound Crescent Fetcham Leatherhead KT22 9JA
LOTTIE KNIGHT LIMITED,13846158,Active,Private limited company,,13/01/2022,47910,1 Crescent Cottages Pound Crescent Fetcham Leatherhead KT22 9JA
