company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
SHYGIRLNOW LIMITED,13842445,Active,Private limited company,,2022-01-11,46180 46420 46450 46480,71-75 Shelton Street Covent Garden London WC2H 9JQ
GL HOME DEVELOPMENTS LTD,13843669,Active,Private limited company,,2022-01-12,68100 68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
JPN PROPERTY SERVICES LTD,13843655,Active,Private limited company,,2022-01-12,41100 68100 68209 85590,71-75 Shelton Street Covent Garden London WC2H 9JQ
FASHION DESIGN EXCHANGE LTD,13841859,Active,Private limited company,,2022-01-11,14131 14132 59112 63910,71-75 Shelton Street Covent Garden London WC2H 9JQ
SOLUTION.TODAY LIMITED,13842039,Active,Private limited company,,2022-01-11,19209 74901 74909 77400,71-75 Shelton Street Covent Garden London WC2H 9JQ
VERA NATURA LTD,13842015,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
CAMDAL LTD,13842040,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
BOWONG INTERNATIONAL TRADING LIMITED,13842037,Active,Private limited company,,2022-01-11,46450 47750,71-75 Shelton Street Covent Garden London WC2H 9JQ
JCECOM LTD,13842000,Active,Private limited company,,2022-01-11,47799 47810 47890 47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
AMUNS IT LIMITED,13842484,Active,Private limited company,,2022-01-11,73120,71-75 Shelton Street Covent Garden London WC2H 9JQ
HOUSELOGIX LIMITED,13842493,Active,Private limited company,,2022-01-11,71122,71-75 Shelton Street Covent Garden London WC2H 9JQ
FAST SQUIRRELS LTD,13843027,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
MUCHGET LTD,13843074,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
ZORLU SOFTWARE LIMITED,13843021,Active,Private limited company,,2022-01-12,62012 63110,71-75 Shelton Street Covent Garden London WC2H 9JQ
SULANTRIX LTD,13843002,Active,Private limited company,,2022-01-12,72110,71-75 Shelton Street Covent Garden London WC2H 9JQ
MAGE LABEL LTD,13843156,Active,Private limited company,,2022-01-12,46150 46160 46190,71-75 Shelton Street Covent Garden London WC2H 9JQ
AVSEC LTD,13842481,Active,Private limited company,,2022-01-11,74909,71-75 Shelton Street Covent Garden London WC2H 9JQ
TIMES NEWS MEDIA LTD,13842470,Active,Private limited company,,2022-01-11,63910,71-75 Shelton Street London WC2H 9JQ
PRESCHOOL PURSUITS LTD,13843257,Active,Private limited company,,2022-01-12,85590 85600,71-75 Shelton Street Covent Garden London WC2H 9JQ
CONTENDUNT EXCELLENTIAM LTD,13841744,Active,Private limited company,,2022-01-11,62012 62020 62090 63120,71-75 Shelton Street Covent Garden London WC2H 9JQ
TECHNO PLANET LTD,13842274,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
BURDJ GROUP LLP,OC440594,Active,Limited liability partnership,,2022-01-11," ",71-75 Shelton Street Covent Garden London WC2H 9JQ
LACCIO CONSULTING LTD,13843098,Active,Private limited company,,2022-01-12,58190 62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
KALINNAX LTD,13843083,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
THEBUTTERFLY LTD,13843130,Active,Private limited company,,2022-01-12,47190 47410 47510 62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
FARNLEY HOLDINGS LIMITED,13843275,Active,Private limited company,,2022-01-12,64209,71-75 Shelton Street Covent Garden London WC2H 9JQ
DIGIT UP MEDIA LTD,13843262,Active,Private limited company,,2022-01-12,18130 47910 73120,71-75 Shelton Street Covent Garden London WC2H 9JQ
METAVERSE SCHOOL LIMITED,13843711,Active,Private limited company,,2022-01-12,85520 85590 85600,71-75 Shelton Street Covent Garden London WC2H 9JQ
THE GREAT GRID GROUP LIMITED,13843717,Active,Private limited company,,2022-01-12,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
PREDICT AND PREVENT LTD,13841848,Active,Private limited company,,2022-01-11,71122,71-75 Shelton Street Covent Garden London WC2H 9JQ
YOUZE ME LTD,13842342,Active,Private limited company,,2022-01-11,27510 27520 31020 47599,71-75 Shelton Street Covent Garden London WC2H 9JQ
